x,y,xa,ya
-125,175,-109.24109514281044,204.6496668673229
-125,225,-106.67327450964935,252.20474621809666
-125,175,-109.33126269160502,204.69861348593085
-125,225,-106.56841996266617,252.3886487609127
-125,275,-103.66820388038455,300.06030235817747
-75,125,-65.16590120937808,154.732724440137
-75,175,-62.25233687018906,201.8357089559728
-75,225,-58.7786194214096,249.7271438373778
-75,275,-56.366639612709434,296.29288179019807
-25,125,-18.015855558198883,150.79590414952492
-25,175,-14.480190781860145,197.6954339456582
-25,225,-11.133466391975183,245.53266021352232
-25,275,-8.350830915658815,294.5524763118453
25,125,30.309783443211707,146.6226192656461
25,175,33.30749749801345,194.56147507763416
25,225,37.05460629801531,242.2672747246419
25,275,41.21644999100821,290.7173795653646
75,175,81.8693391544291,190.70154344936563
75,225,85.66838459780637,239.5842180654753
75,275,91.06509161475887,288.0155705850922
125,225,138.32759879044093,235.0274295554605
125,275,141.73663591052355,285.9939143020075
-200,200,-177.6,211.3
-200,300,-176.1,300.5
-200,100,-180.7,122.6
-300,100,-264.9,127.6
-100,200,-90.3,207.8
-100,300,-87.8,298.6
-300,300,-261.3,300.8
-150,150,-136.2,164.2
-150,250,-133.6,254
-150,350,-131.8,344.7
-250,150,-223.3,168.7
-250,350,-220.6,256
-350,150,-305.7,172.4
-350,250,-304.4,258
-350,350,-303.1,345
100,200,96,200.6
100,300,100.7,294.3
200,100,192.2,100.1
200,200,196.1,196.1
200,300,200.5,293
300,100,296,94.4
300,200,301.7,191.3
300,300,306.2,290.3
150,150,142.9,152.3
150,250,146.8,246.6
150,350,151.8,342
250,150,245.5,146
250,250,249.9,242.9
250,350,255,340.5
350,150,350.7,140.7
350,250,356,240.5
350,350,361.5,341
0,300,2.8,298.7
0,305,2.8,303.9
0,310,3,307.7
0,315,2.7,312.5
0,320,2.7,317.6
0,325,3.4,322.7
0,330,3.5,325.8
0,335,2.7,330.9
0,340,3.3,335.9
0,345,3.5,339.8
0,350,4,344.3
300,0,296.6,-1.6
300,5,296.7,3.9
300,10,295.5,8.9
300,15,296.8,14
300,20,296.4,17.4
300,25,297,22.5
300,30,296.6,27.6
300,35,296.7,32.5
300,40,297.4,38.2
300,45,297.5,43.2
300,50,296.9,48.5
300,55,297.6,53.2
300,60,297.7,57.7
300,65,297.9,62.8
300,70,297.8,68
300,75,298.3,72.1
300,80,298.3,78.2
300,85,298.5,83.1
300,90,298.9,87.6
300,95,298.8,92.3
300,100,299,98.3
300,105,299,103
300,110,299.2,107.7
300,115,299.2,113.1
300,120,299.4,118.1
300,125,299.5,122.7
300,130,299.6,127.4
300,135,299.9,132.6
300,140,300.3,137.6
300,145,299.7,143.1
300,150,300,148
300,155,299.9,152.8
300,160,300,157
300,165,300.1,162.1
300,170,300.3,167.5
300,175,300.5,172.1
300,180,300.6,178
300,185,300.8,182.2
300,190,301.3,187.5
300,195,301.7,191.7
300,200,301.9,197
300,205,302,201
300,210,301.9,206.8
300,215,301.7,212.4
300,220,301.9,216.9
300,225,302,222.1
300,230,302.2,226.6
300,235,302.4,231.6
300,240,302.3,236.6
300,245,302.6,241.8
300,250,302.8,246.8
300,255,303.1,252.2
300,260,303.7,256.7
300,265,303.7,261.7
300,270,303.9,266.7
300,275,303.9,271.6
300,300,304.9,296.2
-300,300,-267.2,299.6
-300,295,-267.4,295.8
-300,290,-267.3,291.1
-300,285,-267.4,286.7
-300,280,-267.3,282.7
-300,275,-267.4,278.5
-300,270,-267.7,274.3
-300,265,-268,269.7
-300,260,-268,265
-300,255,-268.1,260.7
-300,250,-268.1,256.2
-300,245,-268.1,251.6
-300,240,-268.1,247.5
-300,235,-268.1,243
-300,230,-268,238.5
-300,225,-268.2,233.9
-300,220,-268.2,229.9
-300,215,-268.4,225.3
-300,210,-268.6,220.5
-300,205,-268.7,216.8
-300,200,-268.9,212.4
-300,195,-269.2,207.1
-300,190,-269.4,203.1
-300,185,-269.5,198.4
-300,180,-269.3,194.2
-300,175,-269.3,190.1
-300,170,-269.2,185.3
-300,165,-269.2,181.1
-300,160,-269.1,176.6
-300,155,-269.1,171.9
-300,150,-269.2,168
-300,145,-269.4,163.1
-300,140,-269.5,159.1
-300,135,-269.4,154.4
-300,130,-269.5,150.1
-300,125,-269.5,145.9
-300,120,-269.6,141.1
-300,115,-269.8,136.4
-300,110,-269.9,132.2
-300,105,-270.8,127.5
-300,100,-271,123.7
-300,90,-271,114.3
-300,80,-271.1,106
-300,70,-271.2,96.7
-300,60,-271.3,87.9
-300,50,-271.4,79.3
-300,40,-271.9,70.7
-300,30,-272.8,61.8
-300,20,-273,52.8
-300,10,-272.6,44.4
-300,0,-272.4,34.9
-300,-10,-272.7,26.7
150,205,146.9,206.8
-115,275,-104,277.6
200,300,200.2,293.8
200,295,200.5,289.3
200,290,200.4,285.9
200,280,200.2,275.7
200,270,199.6,267.3
200,260,199.3,256.7
200,250,199,246.9
200,240,198.4,237
200,230,198.3,227.5
200,220,197.9,217.2
200,210,197.7,207.7
200,200,197.5,196.7
200,190,197.3,188.4
200,180,197.1,178.2
200,170,196.8,169.4
200,160,196.3,159.1
200,150,196.1,149.8
200,140,195.9,139.9
200,130,195.6,129.5
200,120,195.3,119.9
200,110,195,110.2
200,100,194.2,100.5
200,90,194.5,90.7
200,80,194.4,81.8
200,70,193.9,70.8
200,60,193.7,62.4
200,50,193.2,52.9
200,40,193,42.8
200,30,192.9,31.9
200,20,192.8,22
100,150,96.5,151.2
